substrates,catalysts,temperature
a-Pinene; hydrogen,F127-Ru micellar,40 ﾂｰC
H2; levulinic acid,Ru/C,130 ﾂｰC
phenylacetylene,Pd@UiO-66,45 C
biphenyl,Pt-Pd/Al2O3,140 ﾂｰC
2-methyl-3-butyn-2-ol,Pd50Zn50/Ti0.95Ce0.05O2,313 K
nitrobenzene,palladium nanocatalysts,473 K
"1,5-cyclooctadiene; 3-hexyn-1-ol; H2",Pd nanoparticles,25 C
4-Chlorophenol,Pd nanoparticles,25 ﾂｰC
furfural,Cu/SiO2,100 ﾂｰC
5-nitroisoquinoline,Ni/SiO2,80 C
phenylacetylene,[Rh(NBD)(PPh3)2]BF4,70 °C
N-ethylcarbazole,1 wt% Ru/Al2O3,80 °C
2-amylanthraquinone,Pd/γ-Al2O3,50 °C
CO2; H2,Cu-Zn/Al foam monolithic catalyst,250 °C
"3,4-dichloronitrobenzene",Pt/C,60 ﾂｰC
4-(Trifluoromethoxy)nitrobenzene,Pt/BAC,60 °C
cyclohexene,Pd/Al2O3,70 ﾂｰC
1-butyne,Pd/Al2O3,60 ﾂｰC
o-nitroanisole,2% Pd/zeolite,45 ﾂｰC
nitrobenzene,Pd nanoparticles,room temperature
Nitrobenzene,Pd,25 ﾂｰC
nitroaromatics,Pd@SBA-15,60 ﾂｰC
2-methyl-3-butyn-2-ol,Bi-poisoned Pd catalyst,335 K
4-chlorophenol,Pd nanoparticles,25 °C
"2-ethyl-9,10-anthraquinone",Pd-Al2O3,60 °C
CO2; H2,Pd0.25Zn0.75Ox nanoclusters,200 °C
"2,2-difluoro-2-(3-fluorophenoxy)-N,N-dimethylacetamide",Pd/C,80 °C
hydrogen; oxygen,platinum,1150 °C
levulinic acid,Ru/C,130 °C
biphenyl,Pt-Pd/Al2O3,140 °C
4-nitrophenol; NaBH4,Pd/UiO-66-NH2,298 K
phenylacetylene,Pd@UiO-66,45 °C
o-nitroanisole,2% Pd/zeolite,80 °C
1-butyne,Pd/Al2O3,60 °C
N-diphenylmethylazetidin-3-ol,Pd(OH)2/Al2O3,80 °C
nitrobenzene,palladium nanocatalyst,473 K
cyclohexene,Pd/Al2O3,70 °C
a-methylstyrene,Pd,70 °C
nitrobenzene,Pd/C,80 °C
cyclooctadiene,Pd nanoparticles,25 °C
"3,4-DCNB",Pt/C,50 °C
3-vinylnitrobenzene,1.9% Au/Al2O3,80 °C
