Reaction Type,Reactor Inner Diameter (mm),Flow Rate (mL/min),Pressure (bar),Dataset
Polymerization,1.016,1.0,0,train
Others,1.587,0.3,2.758,train
Others,3.0,40.0,0,train
Cross-coupling,2.0,120.0,0,train
Cross-coupling,1.0,0.3,0,train
Nitration,6.0,34.5,0,train
Hydrogenation,0.6,15.0,0,train
Hydrogenation,4.0,0.12,0,train
Halogenation,2.0,110.7,8.0,train
Others,2.0,20.0,0,train
Nitration,1.0,9.8,0,train
Polymerization,1.0,0.034,0,train
Nitration,0.5,1.0,0,train
Nitration,0.775,4.0,0,train
Hydrogenation,4.35,0.25,30.0,train
Others,1.0,1.5,2.757904,train
Nitration,6.35,60.0,0,train
Nitration,0.6,0.5,0,train
Nitration,2.0,10.0,7.0,train
Polymerization,1.0,0.4,0,train
Nitration,2.2,14.16,0,train
Hydrogenation,10.0,12.0,0,train
Others,2.0,6.0,1.0,train
Hydrogenation,5.5,0.7,20.0,train
Hydrogenation,0.05,0.023,150.0,train
Hydrogenation,0.775,0.05,0,train
Oxidation,0.8,0.01,0,train
Nitration,3.0,395.3,0,train
Hydrogenation,5.0,1.0,10.0,train
Halogenation,1.4,20.0,0,train
Nitration,1.1379,60.0,0,train
Cross-coupling,4.6,1.0,0,train
Others,3.0,40.0,0,train
Halogenation,2.0,110.7,8.0,train
Halogenation,0.2,0.63,0,train
Others,1.0,1.0,0,train
Nitration,0.8,3.0,0,train
Halogenation,1.4,23.1,0,train
Hydrogenation,10.0,12.0,3.2,train
Polymerization,1.0,0.034,0,train
Nitration,6.0,34.2,0,train
Others,5.0,10.0,0,train
Others,0.5,0.4,0,train
Cross-coupling,0.125,0.15,0,train
Others,4.35,0.3,20.0,train
Others,1.587,0.3,2.758,train
Nitration,4.0,1.0,20.0,train
Others,3.87,0.2,6.0,train
Others,0.16,8.0,0,train
Nitration,1.0,9.8,0,train
Others,2.0,0.008333333333333333,1.0,train
Hydrogenation,0.6,0.5,0,train
Nitration,0.6,0.5,0,train
Nitration,6.0,34.2,0,train
Hydrogenation,0.6,15.0,0,train
Hydrogenation,0.53,0.01,0,train
Nitration,0.775,0.2,0,train
Others,6.35,4.0,20.0,train
Hydrogenation,2.1,0.1,0.28,train
Hydrogenation,0.775,0.5,20.0,train
Hydrogenation,40.0,700.0,5.0,train
Nitration,1.1379,20.0,0,train
Polymerization,0.53,0.55,0,train
Hydrogenation,4.35,0.4,25.0,train
Hydrogenation,0.343,0.2286,136.0,train
Halogenation,0.4,2.0,0,train
Nitration,0.5,1.0,0,train
Others,0.75,0.5,0,train
Others,2.0,40.0,0,train
Cross-coupling,2.0,120.0,0,train
Polymerization,1.0,0.5,2.757904,train
Hydrogenation,3.8,0.5,10.0,train
Hydrogenation,5.0,0.5,20.0,train
Others,2.0,8.0,0,train
Polymerization,1.0,2.0,0,train
Hydrogenation,0.25,0.04,1.0,train
Nitration,2.2,0.5,0,train
Others,0.15,0.00025,0,train
Polymerization,1.0,0.4,0,train
Others,0.84,0.08,0,train
Hydrogenation,4.0,0.12,2.4,train
Others,1.0,1.5,2.757904,train
Nitration,3.0,395.3,0,train
Others,0.8,0.01,0,train
Nitration,1.5,30.0,0,train
Others,1.0,1.0,0,train
Nitration,0.127,0.15,0,train
